METHOD;ITEMCOUNT;MEAN (us);P95 (us);GEN 0;GEN 1;GEN 2;ALLOCATED (KB)
LargeAspNetCoreUtf8JsonHttpClientAsync;100;13432;13901.2;359.375;234.375;78.125;3663.88
LargeAspNetCoreUtf8JsonHttpWebRequest;100;9944.2;10382.7;312.5;203.125;62.5;3088.47
LargeAspNetCoreZeroFormatterHttpClient;100;9847.4;10512.3;406.25;218.75;46.875;2909.31
LargeAspNetCoreZeroFormatterHttpClientAsync;100;9890.6;10254.3;421.875;250;46.875;2911.12
LargeAspNetCoreZeroFormatterHttpWebRequest;100;6888.7;7243.7;390.625;210.9375;46.875;2802.42
SmallWcfText;1000;5091.3;5333;203.125;54.6875;0;646.88
SmallWcfWebXml;1000;5170.4;5273.4;195.3125;54.6875;0;648.61
SmallWcfWebJson;1000;6099.8;6294.8;187.5;39.0625;0;619.48
SmallWcfBinary;1000;4486.1;4804.9;187.5;39.0625;0;621.5
SmallWcfNetTcp;1000;4070.6;4243.7;179.6875;39.0625;0;643.88
SmallWcfMsgPackCli;1000;5262.8;5447.1;601.5625;171.875;0;1872.26
SmallWebApiJsonNetHttpClient;1000;8703.8;9127.8;484.375;187.5;0;1544.87
SmallWebApiJsonNetHttpClientAsync;1000;8681.5;9036.5;484.375;187.5;0;1543.54
SmallWebApiJsonNetHttpWebRequest;1000;6954.6;7082.1;445.3125;140.625;0;1403.19
SmallWebApiMessagePackHttpClient;1000;4084.5;4484.5;234.375;62.5;0;770.84
SmallWebApiMessagePackHttpClientAsync;1000;4234.1;4661.6;234.375;101.5625;0;770.07
SmallWebApiMessagePackHttpWebRequest;1000;3052.9;3218.4;218.75;50.7813;0;700.45
SmallWebApiMsgPackCliHttpClient;1000;11586.3;11913.2;1078.125;296.875;0;3395.91
SmallWebApiMsgPackCliHttpClientAsync;1000;11734.6;12014.9;1093.75;296.875;0;3394.1
SmallWebApiMsgPackCliHttpWebRequest;1000;10466.6;10964.3;718.75;234.375;0;2269.57
SmallWebApiXmlHttpClient;1000;8957.6;9437.3;468.75;156.25;0;1649.38
SmallWebApiXmlHttpClientAsync;1000;9080;9525.4;453.125;156.25;0;1647.59
SmallWebApiXmlHttpWebRequest;1000;7764.3;8270.7;421.875;140.625;0;1451.44
SmallWebApiUtf8JsonHttpClient;1000;5008.2;5230.1;250;78.125;0;840.26
SmallWebApiUtf8JsonHttpClientAsync;1000;4981.5;5222.4;273.4375;101.5625;0;842.22
SmallWebApiUtf8JsonHttpWebRequest;1000;3526.5;3561.6;234.375;70.3125;0;761.92
SmallWebApiZeroFormatterHttpClient;1000;4074.3;4389.9;429.6875;210.9375;0;1346.46
SmallWebApiZeroFormatterHttpClientAsync;1000;4039.7;4393.4;421.875;210.9375;0;1342.02
SmallWebApiZeroFormatterHttpWebRequest;1000;2794.2;2919.8;390.625;187.5;0;1240.37
SmallAspNetCoreJsonNetHttpClient;1000;10322.9;10687.6;359.375;109.375;0;1473.25
SmallAspNetCoreJsonNetHttpClientAsync;1000;10401.2;10776.3;375;125;0;1475.8
SmallAspNetCoreJsonNetHttpWebRequest;1000;8998.8;9751.7;375;109.375;0;1235.5
SmallAspNetCoreMessagePackHttpClient;1000;3970.5;4300.8;179.6875;54.6875;0;695.07
SmallAspNetCoreMessagePackHttpClientAsync;1000;3967.7;4317.4;171.875;54.6875;0;695.65
SmallAspNetCoreMessagePackHttpWebRequest;1000;2990.7;3056.3;167.9688;7.8125;0;527.22
SmallAspNetCoreMsgPackCliHttpClient;1000;11072.9;11383.8;968.75;203.125;0;3286.54
SmallAspNetCoreMsgPackCliHttpClientAsync;1000;11269.9;11486.5;953.125;203.125;0;3282.89
SmallAspNetCoreMsgPackCliHttpWebRequest;1000;10055.8;10532.7;671.875;171.875;0;2176.11
SmallAspNetCoreXmlHttpClient;1000;15872.2;16587.9;406.25;62.5;0;1623.8
SmallAspNetCoreXmlHttpClientAsync;1000;16132;16742.2;437.5;31.25;0;1623.78
SmallAspNetCoreXmlHttpWebRequest;1000;12898.5;14694.2;328.125;78.125;0;1218.43
SmallAspNetCoreUtf8JsonHttpClient;1000;4489.3;5041.2;195.3125;62.5;0;745.89
SmallAspNetCoreUtf8JsonHttpClientAsync;1000;4834.4;4987;226.5625;70.3125;0;746.11
SmallAspNetCoreUtf8JsonHttpWebRequest;1000;3584.3;3676;183.5938;7.8125;0;577.3
SmallAspNetCoreZeroFormatterHttpClient;1000;3279.5;3447.7;308.5938;125;0;1122.6
SmallAspNetCoreZeroFormatterHttpClientAsync;1000;3363.8;3592.3;308.5938;136.7188;0;1123.26
SmallAspNetCoreZeroFormatterHttpWebRequest;1000;2542.6;2691.8;203.125;82.0313;0;1019.71
LargeWcfText;1000;113203.8;116349.7;3062.5;1375;625;26257.81
LargeWcfWebXml;1000;113749.8;119653.4;3000;1375;625;26267.92
LargeWcfWebJson;1000;124571.2;126913.4;3562.5;1000;375;19550.39
LargeWcfBinary;1000;75785.2;77798;2625;1062.5;375;16826.8
